date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:55:21	72339/72339	---MCZ	200	added ('OK')	text/html	etag:W/%228a9557f747b0727925f0fc11962617cf%22	https://cartzilla-html.createx.studio/index.html	C:/My%20Web%20Sites/y/cartzilla-html.createx.studio/index.html	(from )
14:55:22	1492/1492	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Oct%202024%2009:25:22%20GMT	https://cartzilla-html.createx.studio/robots.txt		(from )
14:55:23	763/763	---M--	200	added ('OK')	application/json	etag:%226cc02cff3f95dcacf52fc58e16462fdf%22	https://cartzilla-html.createx.studio/manifest.json	C:/My%20Web%20Sites/y/cartzilla-html.createx.studio/manifest.json	(from https://cartzilla-html.createx.studio/index.html)
14:55:24	1781/1781	---M--	200	added ('OK')	image/png	etag:%224ec947585f6c30d44821a98e176848bf%22	https://cartzilla-html.createx.studio/assets/app-icons/icon-32x32.png	C:/My%20Web%20Sites/y/cartzilla-html.createx.studio/assets/app-icons/icon-32x32.png	(from https://cartzilla-html.createx.studio/index.html)
14:55:24	1057/1057	---M--	200	added ('OK')	image/png	etag:%2261ba2975271f2792dd138136e7292c82%22	https://cartzilla-html.createx.studio/assets/app-icons/icon-180x180.png	C:/My%20Web%20Sites/y/cartzilla-html.createx.studio/assets/app-icons/icon-180x180.png	(from https://cartzilla-html.createx.studio/index.html)
14:55:25	2449/2449	---MCZ	200	added ('OK')	application/javascript	etag:W/%22bd664503bb9c0210df9f75a984beb0b6%22	https://cartzilla-html.createx.studio/assets/js/theme-switcher.js	C:/My%20Web%20Sites/y/cartzilla-html.createx.studio/assets/js/theme-switcher.js	(from https://cartzilla-html.createx.studio/index.html)
14:55:25	46552/46552	---M--	200	added ('OK')	font/woff2	etag:%2274c3556b9dad12fb76f84af53ba69410%22	https://cartzilla-html.createx.studio/assets/fonts/inter-variable-latin.woff2	C:/My%20Web%20Sites/y/cartzilla-html.createx.studio/assets/fonts/inter-variable-latin.woff2	(from https://cartzilla-html.createx.studio/index.html)
14:55:26	30116/30116	---M--	200	added ('OK')	font/woff2	etag:%22fa9ce95a9bd2af9c8e9d3c795d6fc3fc%22	https://cartzilla-html.createx.studio/assets/icons/cartzilla-icons.woff2	C:/My%20Web%20Sites/y/cartzilla-html.createx.studio/assets/icons/cartzilla-icons.woff2	(from https://cartzilla-html.createx.studio/index.html)
14:55:27	12828/12828	---MCZ	200	added ('OK')	text/css	etag:W/%22b85c8dc7645c0a95914d43e32d84d9ba%22	https://cartzilla-html.createx.studio/assets/icons/cartzilla-icons.min.css	C:/My%20Web%20Sites/y/cartzilla-html.createx.studio/assets/icons/cartzilla-icons.min.css	(from https://cartzilla-html.createx.studio/index.html)
14:55:27	237/237	---M--	200	added ('OK')	text/css	etag:%223928e71db4db14d17d836612883547ae%22	https://cartzilla-html.createx.studio/assets/vendor/img-comparison-slider/styles.css	C:/My%20Web%20Sites/y/cartzilla-html.createx.studio/assets/vendor/img-comparison-slider/styles.css	(from https://cartzilla-html.createx.studio/index.html)
14:55:28	331996/331996	---MCZ	200	added ('OK')	text/css	etag:W/%22b1e675cd0aef6e169a8d769926f77e9a%22	https://cartzilla-html.createx.studio/assets/css/theme.min.css	C:/My%20Web%20Sites/y/cartzilla-html.createx.studio/assets/css/theme.min.css	(from https://cartzilla-html.createx.studio/index.html)
14:55:29	332077/332077	---MCZ	200	added ('OK')	text/css	etag:W/%22105c6c6dfe6337e2f5864e32677ca59c%22	https://cartzilla-html.createx.studio/assets/css/theme.rtl.min.css	C:/My%20Web%20Sites/y/cartzilla-html.createx.studio/assets/css/theme.rtl.min.css	(from https://cartzilla-html.createx.studio/index.html)
14:55:30	12637/12637	---MCZ	200	added ('OK')	application/javascript	etag:W/%222f1800f2d9dc893e34dec28d0debb7d5%22	https://cartzilla-html.createx.studio/assets/js/customizer.min.js	C:/My%20Web%20Sites/y/cartzilla-html.createx.studio/assets/js/customizer.min.js	(from https://cartzilla-html.createx.studio/index.html)
